,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
825422,,,1.0
340446,40.635036,-73.9228,0.0
365514,40.73498,-74.00253,0.0
657536,40.8510593,-73.8496886,0.0
376883,40.66917,-73.98631,0.0
328182,40.731247,-73.782135,4.0
250677,40.69701,-73.99137,0.0
719879,40.75194,-73.832306,0.0
387124,40.598392,-73.90629,0.0
148083,40.79225,-73.94035,0.0
659464,40.7420652,-73.9092477,0.0
671733,40.838474,-73.94375,0.0
730882,40.59626,-73.76773,1.0
701487,40.71582,-73.80799,0.0
316856,40.746838,-73.89047,0.0
237655,40.74532,-73.875534,0.0
32663,40.737953,-73.85109,5.0
646829,40.764896,-73.97256,1.0
27005,40.7462,-73.73563,0.0
456905,40.74147,-73.985435,0.0
304644,40.650375,-73.926056,0.0
211972,40.678963,-73.94965,0.0
769301,40.748314,-73.70955,0.0
58049,40.88065,-73.86494,1.0
279386,40.728016,-73.83175,0.0
633894,40.636635,-74.00838,0.0
464376,40.72999,-74.0005,0.0
330695,40.670967,-73.7701,0.0
833500,40.6319269,-74.0164876,0.0
252068,40.635166,-73.98481,1.0
375200,,,0.0
395595,40.630234,-74.01685,1.0
831169,40.8375868,-73.8663865,0.0
720567,40.75151,-73.7477,0.0
440189,40.680195,-73.9555,0.0
624140,40.593903,-73.95037,0.0
706675,40.67816,-73.897484,1.0
75466,40.69334,-73.96689,1.0
175143,40.841133,-73.924,0.0
404505,,,0.0
265613,40.62499,-74.14403,0.0
674078,40.76275,-73.99692,0.0
386472,40.703857,-73.91851,3.0
58879,40.635757,-73.99486,1.0
343148,40.58794,-73.97429,0.0
644881,40.659092,-73.74029,2.0
620116,40.58655,-73.96617,0.0
437920,40.777233,-73.99023,0.0
816424,,,0.0
194959,40.69165,-73.779205,1.0
200108,,,0.0
188272,40.660027,-73.96061,0.0
27541,40.77622,-73.97596,0.0
736574,40.789783,-73.81419,1.0
239567,40.639175,-74.121826,0.0
19760,40.7375,-73.93385,6.0
652697,40.7245644,-74.007782,0.0
422266,40.66278,-73.88086,0.0
494006,40.666695,-73.767136,1.0
415058,40.695705,-73.94637,0.0
523413,40.728344,-74.00535,1.0
19878,40.7429,-73.99281,0.0
282995,40.71523,-74.01334,0.0
221316,40.67187,-73.95464,1.0
656000,40.8954288,-73.8446221,0.0
616347,,,0.0
700068,,,0.0
195297,40.794907,-73.94856,0.0
35148,40.729053,-73.98427,0.0
709168,40.812065,-73.89579,0.0
154593,40.677174,-73.924774,0.0
719972,40.75895,-73.96849,0.0
220651,40.580482,-73.95984,1.0
827024,40.841038,-73.92813,2.0
425362,40.687195,-73.981926,0.0
535349,40.66077,-73.91975,0.0
546967,40.843822,-73.916565,0.0
777867,40.584793,-74.16034,0.0
83430,40.742958,-73.99873,0.0
203064,40.63147,-73.91955,0.0
766841,,,0.0
317546,40.804405,-73.9217,0.0
709267,40.77719,-73.95225,0.0
523905,40.68063,-73.858795,0.0
322924,40.708202,-73.87323,0.0
91087,40.73887,-73.81036,0.0
577121,40.763588,-73.83603,0.0
730505,40.8317,-73.935394,0.0
800796,40.611313,-74.09844,0.0
639947,40.839867,-73.94064,0.0
12980,40.603584,-74.01842,0.0
739081,40.8262,-73.821686,0.0
51065,40.714317,-74.00261,1.0
536818,40.57992,-73.9751,0.0
589055,40.75595,-73.88165,0.0
645350,40.65705,-73.76746,1.0
379623,40.761204,-73.75539,0.0
94076,40.590572,-73.93999,0.0
539393,40.760536,-73.95836,0.0
73399,40.75425,-73.827835,0.0
819459,40.6389275,-74.0076567,0.0
386875,40.592484,-73.78417,0.0
342111,,,0.0
684370,40.751404,-73.7037,2.0
375644,40.7606,-73.96434,0.0
559032,,,0.0
405461,40.510674,-74.24999,0.0
688284,40.70052,-74.01551,0.0
791155,40.747036,-73.88958,1.0
207570,,,0.0
640377,40.74327,-73.961464,0.0
352782,40.785984,-73.98302,0.0
588147,40.742943,-73.91685,0.0
550016,40.84536,-73.89684,0.0
642093,40.64606,-74.01648,0.0
108732,40.812363,-73.91887,0.0
749450,,,0.0
322073,40.681503,-73.904106,1.0
252198,40.72495,-73.99492,0.0
68760,40.7879,-73.95368,0.0
3735,40.75564,-73.8383,0.0
808517,40.823914,-73.87644,0.0
180257,,,0.0
839209,40.7257091,-73.9435697,0.0
225044,40.745247,-73.87325,0.0
701957,,,0.0
